TrialNumber,EncodedImage,Directory,Filename,Condition,MemoryProbe,ExpressionIntensity,TestImage,ActorGender,ActorRace,ActorID,FacialExpression1,FacialExpression2,Block
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed01.jpg,Memory,Lure,1,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed03.jpg,Memory,Lure,3,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed05.jpg,Memory,Lure,5,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed07.jpg,Memory,Lure,7,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed09.jpg,Memory,Lure,9,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed11.jpg,Memory,Lure,11,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed13.jpg,Memory,Lure,13,No,Female,Caucasian,22,neutral,happy_closed,1
1,Yes,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed15.jpg,Memory,Lure,15,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed17.jpg,Memory,Lure,17,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed19.jpg,Memory,Lure,19,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed21.jpg,Memory,Lure,21,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed23.jpg,Memory,Lure,23,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed25.jpg,Memory,Lure,25,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed27.jpg,Memory,Lure,27,No,Female,Caucasian,22,neutral,happy_closed,1
1,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_022_C/F_022_C_neutral_happy_closed,F_022_C_neutral_happy_closed29.jpg,Memory,Lure,29,Yes,Female,Caucasian,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed01.jpg,Perception,Target,1,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed03.jpg,Perception,Target,3,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed05.jpg,Perception,Target,5,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed07.jpg,Perception,Target,7,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed09.jpg,Perception,Target,9,Yes,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed11.jpg,Perception,Target,11,No,Male,Other,22,neutral,happy_closed,1
2,Yes,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed13.jpg,Perception,Target,13,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed15.jpg,Perception,Target,15,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed17.jpg,Perception,Target,17,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed19.jpg,Perception,Target,19,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed21.jpg,Perception,Target,21,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed23.jpg,Perception,Target,23,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed25.jpg,Perception,Target,25,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed27.jpg,Perception,Target,27,No,Male,Other,22,neutral,happy_closed,1
2,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_022_O/M_022_O_neutral_happy_closed,M_022_O_neutral_happy_closed29.jpg,Perception,Target,29,No,Male,Other,22,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed01.jpg,Perception,Target,1,No,Female,Caucasian,20,neutral,happy_closed,1
3,Yes,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed03.jpg,Perception,Target,3,Yes,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed05.jpg,Perception,Target,5,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed07.jpg,Perception,Target,7,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed09.jpg,Perception,Target,9,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed11.jpg,Perception,Target,11,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed13.jpg,Perception,Target,13,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed15.jpg,Perception,Target,15,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed17.jpg,Perception,Target,17,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed19.jpg,Perception,Target,19,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed21.jpg,Perception,Target,21,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed23.jpg,Perception,Target,23,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed25.jpg,Perception,Target,25,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed27.jpg,Perception,Target,27,No,Female,Caucasian,20,neutral,happy_closed,1
3,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_020_C/F_020_C_neutral_happy_closed,F_020_C_neutral_happy_closed29.jpg,Perception,Target,29,No,Female,Caucasian,20,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed01.jpg,Perception,Target,1,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed03.jpg,Perception,Target,3,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed05.jpg,Perception,Target,5,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed07.jpg,Perception,Target,7,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed09.jpg,Perception,Target,9,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed11.jpg,Perception,Target,11,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed13.jpg,Perception,Target,13,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed15.jpg,Perception,Target,15,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed17.jpg,Perception,Target,17,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed19.jpg,Perception,Target,19,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed21.jpg,Perception,Target,21,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed23.jpg,Perception,Target,23,No,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed25.jpg,Perception,Target,25,No,Male,Other,24,neutral,happy_closed,1
4,Yes,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed27.jpg,Perception,Target,27,Yes,Male,Other,24,neutral,happy_closed,1
4,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/M_O_morphs/M_024_O/M_024_O_neutral_happy_closed,M_024_O_neutral_happy_closed29.jpg,Perception,Target,29,No,Male,Other,24,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed01.jpg,Memory,Lure,1,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed03.jpg,Memory,Lure,3,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed05.jpg,Memory,Lure,5,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed07.jpg,Memory,Lure,7,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed09.jpg,Memory,Lure,9,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed11.jpg,Memory,Lure,11,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed13.jpg,Memory,Lure,13,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed15.jpg,Memory,Lure,15,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed17.jpg,Memory,Lure,17,Yes,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed19.jpg,Memory,Lure,19,No,Female,Caucasian,18,neutral,happy_closed,1
5,Yes,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed21.jpg,Memory,Lure,21,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed23.jpg,Memory,Lure,23,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed25.jpg,Memory,Lure,25,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed27.jpg,Memory,Lure,27,No,Female,Caucasian,18,neutral,happy_closed,1
5,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_C_morphs/F_018_C/F_018_C_neutral_happy_closed,F_018_C_neutral_happy_closed29.jpg,Memory,Lure,29,No,Female,Caucasian,18,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed01.jpg,Perception,Target,1,No,Female,Other,10,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed03.jpg,Perception,Target,3,No,Female,Other,10,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed05.jpg,Perception,Target,5,No,Female,Other,10,neutral,happy_closed,1
6,No,/Volumes/GoogleDrive/My Drive/MemoLab/Experiments/FACEOFF/morfs/F_O_morphs/F_010_O/F_010_O_neutral_happy_closed,F_010_O_neutral_happy_closed07.jpg,Perception,Target,7,No,Female,Other,10,neutral,happy_closed,1
